ticks per second: 4.0
[INTERNAL] | Global Time - 01:24:20.600124 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 01:24:20.853643 | No Messages Sent | Clock Time - 3
[MESSAGE(S) SENT] | Global Time - 01:24:21.106552 | Receiver(s) - [2] | Clock Time - 4
[INTERNAL] | Global Time - 01:24:21.361096 | No Messages Sent | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 01:24:21.616064 | Queue Length - 0 | Clock Time - 6
[INTERNAL] | Global Time - 01:24:21.868651 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:24:22.124550 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 01:24:22.379848 | No Messages Sent | Clock Time - 9
[MESSAGE(S) SENT] | Global Time - 01:24:22.635141 | Receiver(s) - [2] | Clock Time - 10
[MESSAGE(S) SENT] | Global Time - 01:24:22.890541 | Receiver(s) - [0, 2] | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 01:24:23.146988 | Receiver(s) - [0] | Clock Time - 12
[INTERNAL] | Global Time - 01:24:23.402422 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 01:24:23.659234 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 01:24:23.913833 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 01:24:24.164821 | No Messages Sent | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 01:24:24.417263 | Queue Length - 0 | Clock Time - 20
[MESSAGE RECEIVED] | Global Time - 01:24:24.671551 | Queue Length - 0 | Clock Time - 21
[MESSAGE(S) SENT] | Global Time - 01:24:24.926978 | Receiver(s) - [0] | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 01:24:25.178985 | Queue Length - 0 | Clock Time - 24
[INTERNAL] | Global Time - 01:24:25.432637 | No Messages Sent | Clock Time - 25
[MESSAGE RECEIVED] | Global Time - 01:24:25.685033 | Queue Length - 0 | Clock Time - 26
[MESSAGE(S) SENT] | Global Time - 01:24:25.936197 | Receiver(s) - [0] | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 01:24:26.193057 | Receiver(s) - [0] | Clock Time - 28
[INTERNAL] | Global Time - 01:24:26.448113 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 01:24:26.701862 | No Messages Sent | Clock Time - 30
[INTERNAL] | Global Time - 01:24:26.955348 | No Messages Sent | Clock Time - 31
[INTERNAL] | Global Time - 01:24:27.211239 | No Messages Sent | Clock Time - 32
[INTERNAL] | Global Time - 01:24:27.465915 | No Messages Sent | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 01:24:27.717937 | Queue Length - 0 | Clock Time - 37
[INTERNAL] | Global Time - 01:24:27.973472 | No Messages Sent | Clock Time - 38
[INTERNAL] | Global Time - 01:24:28.228706 | No Messages Sent | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 01:24:28.484509 | Queue Length - 0 | Clock Time - 40
[MESSAGE(S) SENT] | Global Time - 01:24:28.736681 | Receiver(s) - [2] | Clock Time - 41
[INTERNAL] | Global Time - 01:24:28.992394 | No Messages Sent | Clock Time - 42
[MESSAGE RECEIVED] | Global Time - 01:24:29.247098 | Queue Length - 0 | Clock Time - 44
[INTERNAL] | Global Time - 01:24:29.502471 | No Messages Sent | Clock Time - 45
[INTERNAL] | Global Time - 01:24:29.756034 | No Messages Sent | Clock Time - 46
[MESSAGE(S) SENT] | Global Time - 01:24:30.012267 | Receiver(s) - [0] | Clock Time - 47
[INTERNAL] | Global Time - 01:24:30.265118 | No Messages Sent | Clock Time - 48
[INTERNAL] | Global Time - 01:24:30.516434 | No Messages Sent | Clock Time - 49
[MESSAGE RECEIVED] | Global Time - 01:24:30.772458 | Queue Length - 0 | Clock Time - 51
[INTERNAL] | Global Time - 01:24:31.041014 | No Messages Sent | Clock Time - 52
[MESSAGE RECEIVED] | Global Time - 01:24:31.297237 | Queue Length - 0 | Clock Time - 54
[INTERNAL] | Global Time - 01:24:31.554287 | No Messages Sent | Clock Time - 55
[MESSAGE RECEIVED] | Global Time - 01:24:31.810178 | Queue Length - 0 | Clock Time - 56
[MESSAGE(S) SENT] | Global Time - 01:24:32.065317 | Receiver(s) - [0] | Clock Time - 57
[INTERNAL] | Global Time - 01:24:32.321474 | No Messages Sent | Clock Time - 58
[INTERNAL] | Global Time - 01:24:32.576063 | No Messages Sent | Clock Time - 59
[MESSAGE(S) SENT] | Global Time - 01:24:32.833007 | Receiver(s) - [0] | Clock Time - 60
[INTERNAL] | Global Time - 01:24:33.086022 | No Messages Sent | Clock Time - 61
[INTERNAL] | Global Time - 01:24:33.341709 | No Messages Sent | Clock Time - 62
[INTERNAL] | Global Time - 01:24:33.598203 | No Messages Sent | Clock Time - 63
[INTERNAL] | Global Time - 01:24:33.853612 | No Messages Sent | Clock Time - 64
[MESSAGE(S) SENT] | Global Time - 01:24:34.110022 | Receiver(s) - [0, 2] | Clock Time - 65
[INTERNAL] | Global Time - 01:24:34.365446 | No Messages Sent | Clock Time - 66
[MESSAGE RECEIVED] | Global Time - 01:24:34.621840 | Queue Length - 0 | Clock Time - 70
[INTERNAL] | Global Time - 01:24:34.876128 | No Messages Sent | Clock Time - 71
[MESSAGE RECEIVED] | Global Time - 01:24:35.130867 | Queue Length - 0 | Clock Time - 73
[INTERNAL] | Global Time - 01:24:35.386083 | No Messages Sent | Clock Time - 74
[MESSAGE(S) SENT] | Global Time - 01:24:35.642446 | Receiver(s) - [0, 2] | Clock Time - 75
[INTERNAL] | Global Time - 01:24:35.899607 | No Messages Sent | Clock Time - 76
[MESSAGE RECEIVED] | Global Time - 01:24:36.155402 | Queue Length - 0 | Clock Time - 77
[MESSAGE RECEIVED] | Global Time - 01:24:36.412036 | Queue Length - 0 | Clock Time - 79
[INTERNAL] | Global Time - 01:24:36.667822 | No Messages Sent | Clock Time - 80
[INTERNAL] | Global Time - 01:24:36.923810 | No Messages Sent | Clock Time - 81
[INTERNAL] | Global Time - 01:24:37.177358 | No Messages Sent | Clock Time - 82
[INTERNAL] | Global Time - 01:24:37.432182 | No Messages Sent | Clock Time - 83
[INTERNAL] | Global Time - 01:24:37.687354 | No Messages Sent | Clock Time - 84
[MESSAGE(S) SENT] | Global Time - 01:24:37.941809 | Receiver(s) - [0, 2] | Clock Time - 85
[INTERNAL] | Global Time - 01:24:38.193198 | No Messages Sent | Clock Time - 86
[INTERNAL] | Global Time - 01:24:38.447343 | No Messages Sent | Clock Time - 87
[MESSAGE RECEIVED] | Global Time - 01:24:38.702168 | Queue Length - 0 | Clock Time - 90
[MESSAGE(S) SENT] | Global Time - 01:24:38.956386 | Receiver(s) - [2] | Clock Time - 91
[MESSAGE RECEIVED] | Global Time - 01:24:39.210479 | Queue Length - 0 | Clock Time - 93
