ticks per second: 5.0
[INTERNAL] | Global Time - 02:35:57.923577 | No Messages Sent | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 02:35:58.126079 | Receiver(s) - [0] | Clock Time - 3
[INTERNAL] | Global Time - 02:35:58.331205 | No Messages Sent | Clock Time - 4
[MESSAGE(S) SENT] | Global Time - 02:35:58.537939 | Receiver(s) - [0] | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 02:35:58.742821 | Queue Length - 0 | Clock Time - 6
[MESSAGE(S) SENT] | Global Time - 02:35:58.953097 | Receiver(s) - [0] | Clock Time - 7
[INTERNAL] | Global Time - 02:35:59.158957 | No Messages Sent | Clock Time - 8
[MESSAGE(S) SENT] | Global Time - 02:35:59.362958 | Receiver(s) - [0, 1] | Clock Time - 9
[MESSAGE(S) SENT] | Global Time - 02:35:59.569381 | Receiver(s) - [0] | Clock Time - 10
[MESSAGE(S) SENT] | Global Time - 02:35:59.773430 | Receiver(s) - [0] | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 02:35:59.975482 | Receiver(s) - [0] | Clock Time - 12
[INTERNAL] | Global Time - 02:36:00.181281 | No Messages Sent | Clock Time - 13
[MESSAGE(S) SENT] | Global Time - 02:36:00.384678 | Receiver(s) - [0] | Clock Time - 14
[MESSAGE(S) SENT] | Global Time - 02:36:00.591477 | Receiver(s) - [0] | Clock Time - 15
[MESSAGE(S) SENT] | Global Time - 02:36:00.797311 | Receiver(s) - [0, 1] | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 02:36:01.001617 | Receiver(s) - [0] | Clock Time - 17
[MESSAGE(S) SENT] | Global Time - 02:36:01.206845 | Receiver(s) - [0, 1] | Clock Time - 18
[MESSAGE(S) SENT] | Global Time - 02:36:01.414185 | Receiver(s) - [0, 1] | Clock Time - 19
[INTERNAL] | Global Time - 02:36:01.620914 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 02:36:01.825762 | No Messages Sent | Clock Time - 21
[MESSAGE(S) SENT] | Global Time - 02:36:02.031469 | Receiver(s) - [0, 1] | Clock Time - 22
[INTERNAL] | Global Time - 02:36:02.236927 | No Messages Sent | Clock Time - 23
[MESSAGE(S) SENT] | Global Time - 02:36:02.441373 | Receiver(s) - [1] | Clock Time - 24
[INTERNAL] | Global Time - 02:36:02.647648 | No Messages Sent | Clock Time - 25
[INTERNAL] | Global Time - 02:36:02.851414 | No Messages Sent | Clock Time - 26
[INTERNAL] | Global Time - 02:36:03.054542 | No Messages Sent | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 02:36:03.261354 | Receiver(s) - [0, 1] | Clock Time - 28
[MESSAGE(S) SENT] | Global Time - 02:36:03.465007 | Receiver(s) - [0] | Clock Time - 29
[MESSAGE(S) SENT] | Global Time - 02:36:03.671724 | Receiver(s) - [0] | Clock Time - 30
