ticks per second: 4.0
[INTERNAL] | Global Time - 01:47:12.374325 | No Messages Sent | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 01:47:12.631342 | Queue Length - 0 | Clock Time - 3
[MESSAGE(S) SENT] | Global Time - 01:47:12.885705 | Receiver(s) - [0] | Clock Time - 4
[INTERNAL] | Global Time - 01:47:13.140891 | No Messages Sent | Clock Time - 5
[INTERNAL] | Global Time - 01:47:13.393735 | No Messages Sent | Clock Time - 6
[MESSAGE(S) SENT] | Global Time - 01:47:13.648974 | Receiver(s) - [0] | Clock Time - 7
[INTERNAL] | Global Time - 01:47:13.905243 | No Messages Sent | Clock Time - 8
[MESSAGE(S) SENT] | Global Time - 01:47:14.159082 | Receiver(s) - [0] | Clock Time - 9
[MESSAGE RECEIVED] | Global Time - 01:47:14.417383 | Queue Length - 0 | Clock Time - 14
[INTERNAL] | Global Time - 01:47:14.672673 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 01:47:14.927252 | No Messages Sent | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 01:47:15.182208 | Receiver(s) - [0] | Clock Time - 17
[INTERNAL] | Global Time - 01:47:15.438548 | No Messages Sent | Clock Time - 18
[INTERNAL] | Global Time - 01:47:15.694057 | No Messages Sent | Clock Time - 19
[INTERNAL] | Global Time - 01:47:15.946968 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 01:47:16.199423 | No Messages Sent | Clock Time - 21
[INTERNAL] | Global Time - 01:47:16.455015 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 01:47:16.707748 | No Messages Sent | Clock Time - 23
[INTERNAL] | Global Time - 01:47:16.964872 | No Messages Sent | Clock Time - 24
[INTERNAL] | Global Time - 01:47:17.220927 | No Messages Sent | Clock Time - 25
[INTERNAL] | Global Time - 01:47:17.475858 | No Messages Sent | Clock Time - 26
[INTERNAL] | Global Time - 01:47:17.731186 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 01:47:17.987202 | No Messages Sent | Clock Time - 28
[MESSAGE RECEIVED] | Global Time - 01:47:18.243625 | Queue Length - 0 | Clock Time - 36
[INTERNAL] | Global Time - 01:47:18.499581 | No Messages Sent | Clock Time - 37
[MESSAGE RECEIVED] | Global Time - 01:47:18.754880 | Queue Length - 0 | Clock Time - 39
[MESSAGE(S) SENT] | Global Time - 01:47:19.007241 | Receiver(s) - [0] | Clock Time - 40
[INTERNAL] | Global Time - 01:47:19.262487 | No Messages Sent | Clock Time - 41
[INTERNAL] | Global Time - 01:47:19.516590 | No Messages Sent | Clock Time - 42
[INTERNAL] | Global Time - 01:47:19.772826 | No Messages Sent | Clock Time - 43
[MESSAGE RECEIVED] | Global Time - 01:47:20.026880 | Queue Length - 0 | Clock Time - 46
[MESSAGE RECEIVED] | Global Time - 01:47:20.282826 | Queue Length - 0 | Clock Time - 47
[INTERNAL] | Global Time - 01:47:20.536186 | No Messages Sent | Clock Time - 48
[MESSAGE RECEIVED] | Global Time - 01:47:20.790596 | Queue Length - 1 | Clock Time - 51
