ticks per second: 1.0
[MESSAGE RECEIVED] | Global Time - 01:43:09.676846 | Queue Length - 2 | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 01:43:10.682132 | Queue Length - 3 | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 01:43:11.687249 | Queue Length - 3 | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 01:43:12.690661 | Queue Length - 4 | Clock Time - 8
[MESSAGE RECEIVED] | Global Time - 01:43:13.694102 | Queue Length - 5 | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 01:43:14.699299 | Queue Length - 7 | Clock Time - 17
[MESSAGE RECEIVED] | Global Time - 01:43:15.703573 | Queue Length - 8 | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 01:43:16.705027 | Queue Length - 9 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 01:43:17.708141 | Queue Length - 8 | Clock Time - 20
[MESSAGE RECEIVED] | Global Time - 01:43:18.711891 | Queue Length - 9 | Clock Time - 28
[MESSAGE RECEIVED] | Global Time - 01:43:19.716354 | Queue Length - 11 | Clock Time - 31
[MESSAGE RECEIVED] | Global Time - 01:43:20.720768 | Queue Length - 12 | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 01:43:21.726663 | Queue Length - 11 | Clock Time - 36
[MESSAGE RECEIVED] | Global Time - 01:43:22.729778 | Queue Length - 12 | Clock Time - 38
[MESSAGE RECEIVED] | Global Time - 01:43:23.735625 | Queue Length - 13 | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 01:43:24.741340 | Queue Length - 14 | Clock Time - 44
[MESSAGE RECEIVED] | Global Time - 01:43:25.747530 | Queue Length - 13 | Clock Time - 45
[MESSAGE RECEIVED] | Global Time - 01:43:26.752524 | Queue Length - 13 | Clock Time - 55
[MESSAGE RECEIVED] | Global Time - 01:43:27.756754 | Queue Length - 13 | Clock Time - 56
[MESSAGE RECEIVED] | Global Time - 01:43:28.760907 | Queue Length - 14 | Clock Time - 58
[MESSAGE RECEIVED] | Global Time - 01:43:29.764579 | Queue Length - 14 | Clock Time - 62
[MESSAGE RECEIVED] | Global Time - 01:43:30.770661 | Queue Length - 14 | Clock Time - 65
[MESSAGE RECEIVED] | Global Time - 01:43:31.777493 | Queue Length - 14 | Clock Time - 67
[MESSAGE RECEIVED] | Global Time - 01:43:32.784193 | Queue Length - 14 | Clock Time - 71
[MESSAGE RECEIVED] | Global Time - 01:43:33.790700 | Queue Length - 16 | Clock Time - 78
[MESSAGE RECEIVED] | Global Time - 01:43:34.793593 | Queue Length - 17 | Clock Time - 80
