ticks per second: 5.0
[INTERNAL] | Global Time - 01:24:20.550092 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 01:24:20.752656 | No Messages Sent | Clock Time - 3
[INTERNAL] | Global Time - 01:24:20.955222 | No Messages Sent | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 01:24:21.160951 | Queue Length - 0 | Clock Time - 5
[MESSAGE(S) SENT] | Global Time - 01:24:21.365321 | Receiver(s) - [1] | Clock Time - 6
[INTERNAL] | Global Time - 01:24:21.566841 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:24:21.769638 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 01:24:21.973816 | No Messages Sent | Clock Time - 9
[INTERNAL] | Global Time - 01:24:22.180056 | No Messages Sent | Clock Time - 10
[INTERNAL] | Global Time - 01:24:22.386639 | No Messages Sent | Clock Time - 11
[INTERNAL] | Global Time - 01:24:22.592272 | No Messages Sent | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 01:24:22.797100 | Queue Length - 0 | Clock Time - 13
[MESSAGE RECEIVED] | Global Time - 01:24:23.001068 | Queue Length - 0 | Clock Time - 14
[MESSAGE(S) SENT] | Global Time - 01:24:23.202140 | Receiver(s) - [0] | Clock Time - 15
[INTERNAL] | Global Time - 01:24:23.408137 | No Messages Sent | Clock Time - 16
[INTERNAL] | Global Time - 01:24:23.616074 | No Messages Sent | Clock Time - 17
[INTERNAL] | Global Time - 01:24:23.819449 | No Messages Sent | Clock Time - 18
[INTERNAL] | Global Time - 01:24:24.023761 | No Messages Sent | Clock Time - 19
[MESSAGE(S) SENT] | Global Time - 01:24:24.229495 | Receiver(s) - [0, 1] | Clock Time - 20
[MESSAGE(S) SENT] | Global Time - 01:24:24.434950 | Receiver(s) - [1] | Clock Time - 21
[INTERNAL] | Global Time - 01:24:24.641144 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 01:24:24.847124 | No Messages Sent | Clock Time - 23
[MESSAGE(S) SENT] | Global Time - 01:24:25.050435 | Receiver(s) - [1] | Clock Time - 24
[INTERNAL] | Global Time - 01:24:25.256493 | No Messages Sent | Clock Time - 25
[MESSAGE(S) SENT] | Global Time - 01:24:25.462774 | Receiver(s) - [1] | Clock Time - 26
[INTERNAL] | Global Time - 01:24:25.666482 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 01:24:25.871855 | No Messages Sent | Clock Time - 28
[INTERNAL] | Global Time - 01:24:26.077389 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 01:24:26.283512 | No Messages Sent | Clock Time - 30
[INTERNAL] | Global Time - 01:24:26.485255 | No Messages Sent | Clock Time - 31
[INTERNAL] | Global Time - 01:24:26.687440 | No Messages Sent | Clock Time - 32
[INTERNAL] | Global Time - 01:24:26.892529 | No Messages Sent | Clock Time - 33
[INTERNAL] | Global Time - 01:24:27.096810 | No Messages Sent | Clock Time - 34
[INTERNAL] | Global Time - 01:24:27.302102 | No Messages Sent | Clock Time - 35
[INTERNAL] | Global Time - 01:24:27.503642 | No Messages Sent | Clock Time - 36
[MESSAGE(S) SENT] | Global Time - 01:24:27.709637 | Receiver(s) - [0, 1] | Clock Time - 37
[INTERNAL] | Global Time - 01:24:27.915928 | No Messages Sent | Clock Time - 38
[INTERNAL] | Global Time - 01:24:28.121747 | No Messages Sent | Clock Time - 39
[MESSAGE(S) SENT] | Global Time - 01:24:28.327597 | Receiver(s) - [0, 1] | Clock Time - 40
[INTERNAL] | Global Time - 01:24:28.529973 | No Messages Sent | Clock Time - 41
[INTERNAL] | Global Time - 01:24:28.736041 | No Messages Sent | Clock Time - 42
[MESSAGE RECEIVED] | Global Time - 01:24:28.942467 | Queue Length - 0 | Clock Time - 43
[MESSAGE(S) SENT] | Global Time - 01:24:29.146298 | Receiver(s) - [0, 1] | Clock Time - 44
[INTERNAL] | Global Time - 01:24:29.353162 | No Messages Sent | Clock Time - 45
[INTERNAL] | Global Time - 01:24:29.558662 | No Messages Sent | Clock Time - 46
[INTERNAL] | Global Time - 01:24:29.763193 | No Messages Sent | Clock Time - 47
[INTERNAL] | Global Time - 01:24:29.967901 | No Messages Sent | Clock Time - 48
[INTERNAL] | Global Time - 01:24:30.172668 | No Messages Sent | Clock Time - 49
[INTERNAL] | Global Time - 01:24:30.376456 | No Messages Sent | Clock Time - 50
[MESSAGE(S) SENT] | Global Time - 01:24:30.581433 | Receiver(s) - [1] | Clock Time - 51
[INTERNAL] | Global Time - 01:24:30.785476 | No Messages Sent | Clock Time - 52
[MESSAGE(S) SENT] | Global Time - 01:24:30.992181 | Receiver(s) - [0] | Clock Time - 53
[MESSAGE(S) SENT] | Global Time - 01:24:31.198525 | Receiver(s) - [1] | Clock Time - 54
[MESSAGE(S) SENT] | Global Time - 01:24:31.404400 | Receiver(s) - [0] | Clock Time - 55
[MESSAGE(S) SENT] | Global Time - 01:24:31.609713 | Receiver(s) - [1] | Clock Time - 56
[INTERNAL] | Global Time - 01:24:31.815122 | No Messages Sent | Clock Time - 57
[INTERNAL] | Global Time - 01:24:32.022201 | No Messages Sent | Clock Time - 58
