ticks per second: 2.0
[INTERNAL] | Global Time - 02:35:58.226347 | No Messages Sent | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 02:35:58.733745 | Receiver(s) - [0, 2] | Clock Time - 3
[MESSAGE(S) SENT] | Global Time - 02:35:59.235175 | Receiver(s) - [0] | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 02:35:59.739031 | Queue Length - 0 | Clock Time - 9
[INTERNAL] | Global Time - 02:36:00.245071 | No Messages Sent | Clock Time - 10
[INTERNAL] | Global Time - 02:36:00.751212 | No Messages Sent | Clock Time - 11
[MESSAGE RECEIVED] | Global Time - 02:36:01.254812 | Queue Length - 1 | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 02:36:01.761246 | Queue Length - 1 | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 02:36:02.264493 | Queue Length - 1 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 02:36:02.766256 | Queue Length - 1 | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 02:36:03.272001 | Queue Length - 1 | Clock Time - 24
[MESSAGE RECEIVED] | Global Time - 02:36:03.774160 | Queue Length - 0 | Clock Time - 28
[MESSAGE(S) SENT] | Global Time - 02:36:04.280959 | Receiver(s) - [0] | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 02:36:04.782591 | Queue Length - 0 | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 02:36:05.288149 | Queue Length - 0 | Clock Time - 36
[MESSAGE RECEIVED] | Global Time - 02:36:05.793226 | Queue Length - 2 | Clock Time - 38
[MESSAGE RECEIVED] | Global Time - 02:36:06.300020 | Queue Length - 3 | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 02:36:06.805003 | Queue Length - 4 | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 02:36:07.311239 | Queue Length - 4 | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 02:36:07.815080 | Queue Length - 4 | Clock Time - 42
[MESSAGE RECEIVED] | Global Time - 02:36:08.321484 | Queue Length - 3 | Clock Time - 43
[MESSAGE RECEIVED] | Global Time - 02:36:08.828182 | Queue Length - 4 | Clock Time - 44
[MESSAGE RECEIVED] | Global Time - 02:36:09.332575 | Queue Length - 3 | Clock Time - 46
[MESSAGE RECEIVED] | Global Time - 02:36:09.836378 | Queue Length - 2 | Clock Time - 49
[MESSAGE RECEIVED] | Global Time - 02:36:10.341465 | Queue Length - 3 | Clock Time - 53
[MESSAGE RECEIVED] | Global Time - 02:36:10.845670 | Queue Length - 3 | Clock Time - 54
[MESSAGE RECEIVED] | Global Time - 02:36:11.351614 | Queue Length - 3 | Clock Time - 61
[MESSAGE RECEIVED] | Global Time - 02:36:11.858407 | Queue Length - 3 | Clock Time - 62
