ticks per second: 6.0
[INTERNAL] | Global Time - 01:47:12.281015 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 01:47:12.448631 | No Messages Sent | Clock Time - 3
[INTERNAL] | Global Time - 01:47:12.621283 | No Messages Sent | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 01:47:12.792795 | Queue Length - 0 | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 01:47:12.961769 | Queue Length - 0 | Clock Time - 6
[INTERNAL] | Global Time - 01:47:13.131877 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:47:13.302923 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 01:47:13.473654 | No Messages Sent | Clock Time - 9
[INTERNAL] | Global Time - 01:47:13.646211 | No Messages Sent | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 01:47:13.817696 | Queue Length - 0 | Clock Time - 11
[INTERNAL] | Global Time - 01:47:13.990627 | No Messages Sent | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 01:47:14.161197 | Queue Length - 0 | Clock Time - 13
[MESSAGE(S) SENT] | Global Time - 01:47:14.331552 | Receiver(s) - [1, 2] | Clock Time - 14
[INTERNAL] | Global Time - 01:47:14.503562 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 01:47:14.674817 | No Messages Sent | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 01:47:14.845490 | Receiver(s) - [1] | Clock Time - 17
[MESSAGE(S) SENT] | Global Time - 01:47:15.016760 | Receiver(s) - [1] | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 01:47:15.187643 | Queue Length - 0 | Clock Time - 19
[INTERNAL] | Global Time - 01:47:15.357897 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 01:47:15.531111 | No Messages Sent | Clock Time - 21
[INTERNAL] | Global Time - 01:47:15.702972 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 01:47:15.876048 | No Messages Sent | Clock Time - 23
[INTERNAL] | Global Time - 01:47:16.046619 | No Messages Sent | Clock Time - 24
[INTERNAL] | Global Time - 01:47:16.218196 | No Messages Sent | Clock Time - 25
[INTERNAL] | Global Time - 01:47:16.388808 | No Messages Sent | Clock Time - 26
[INTERNAL] | Global Time - 01:47:16.557589 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 01:47:16.730491 | No Messages Sent | Clock Time - 28
[INTERNAL] | Global Time - 01:47:16.899946 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 01:47:17.072462 | No Messages Sent | Clock Time - 30
[INTERNAL] | Global Time - 01:47:17.244421 | No Messages Sent | Clock Time - 31
[MESSAGE(S) SENT] | Global Time - 01:47:17.412854 | Receiver(s) - [1] | Clock Time - 32
[INTERNAL] | Global Time - 01:47:17.584637 | No Messages Sent | Clock Time - 33
[INTERNAL] | Global Time - 01:47:17.756970 | No Messages Sent | Clock Time - 34
[INTERNAL] | Global Time - 01:47:17.929272 | No Messages Sent | Clock Time - 35
[MESSAGE(S) SENT] | Global Time - 01:47:18.100312 | Receiver(s) - [1, 2] | Clock Time - 36
[INTERNAL] | Global Time - 01:47:18.273847 | No Messages Sent | Clock Time - 37
[INTERNAL] | Global Time - 01:47:18.444940 | No Messages Sent | Clock Time - 38
[MESSAGE(S) SENT] | Global Time - 01:47:18.617467 | Receiver(s) - [2] | Clock Time - 39
[MESSAGE(S) SENT] | Global Time - 01:47:18.790331 | Receiver(s) - [1] | Clock Time - 40
[MESSAGE(S) SENT] | Global Time - 01:47:18.963200 | Receiver(s) - [1] | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 01:47:19.136246 | Queue Length - 0 | Clock Time - 42
[INTERNAL] | Global Time - 01:47:19.308865 | No Messages Sent | Clock Time - 43
[INTERNAL] | Global Time - 01:47:19.481367 | No Messages Sent | Clock Time - 44
[INTERNAL] | Global Time - 01:47:19.654114 | No Messages Sent | Clock Time - 45
[MESSAGE(S) SENT] | Global Time - 01:47:19.826265 | Receiver(s) - [2] | Clock Time - 46
[INTERNAL] | Global Time - 01:47:19.999058 | No Messages Sent | Clock Time - 47
[INTERNAL] | Global Time - 01:47:20.169659 | No Messages Sent | Clock Time - 48
[INTERNAL] | Global Time - 01:47:20.340749 | No Messages Sent | Clock Time - 49
[INTERNAL] | Global Time - 01:47:20.510549 | No Messages Sent | Clock Time - 50
[MESSAGE(S) SENT] | Global Time - 01:47:20.682507 | Receiver(s) - [2] | Clock Time - 51
[INTERNAL] | Global Time - 01:47:20.854790 | No Messages Sent | Clock Time - 52
[MESSAGE(S) SENT] | Global Time - 01:47:21.026724 | Receiver(s) - [2] | Clock Time - 53
[INTERNAL] | Global Time - 01:47:21.196334 | No Messages Sent | Clock Time - 54
[INTERNAL] | Global Time - 01:47:21.368228 | No Messages Sent | Clock Time - 55
[INTERNAL] | Global Time - 01:47:21.539033 | No Messages Sent | Clock Time - 56
[INTERNAL] | Global Time - 01:47:21.710831 | No Messages Sent | Clock Time - 57
[MESSAGE RECEIVED] | Global Time - 01:47:21.884565 | Queue Length - 0 | Clock Time - 58
[INTERNAL] | Global Time - 01:47:22.055979 | No Messages Sent | Clock Time - 59
[INTERNAL] | Global Time - 01:47:22.228985 | No Messages Sent | Clock Time - 60
[INTERNAL] | Global Time - 01:47:22.401081 | No Messages Sent | Clock Time - 61
[INTERNAL] | Global Time - 01:47:22.574015 | No Messages Sent | Clock Time - 62
[MESSAGE RECEIVED] | Global Time - 01:47:22.751204 | Queue Length - 0 | Clock Time - 63
[INTERNAL] | Global Time - 01:47:22.922326 | No Messages Sent | Clock Time - 64
[INTERNAL] | Global Time - 01:47:23.094343 | No Messages Sent | Clock Time - 65
[INTERNAL] | Global Time - 01:47:23.266958 | No Messages Sent | Clock Time - 66
[MESSAGE(S) SENT] | Global Time - 01:47:23.438435 | Receiver(s) - [1, 2] | Clock Time - 67
[MESSAGE(S) SENT] | Global Time - 01:47:23.611609 | Receiver(s) - [2] | Clock Time - 68
[INTERNAL] | Global Time - 01:47:23.783651 | No Messages Sent | Clock Time - 69
[INTERNAL] | Global Time - 01:47:23.955511 | No Messages Sent | Clock Time - 70
[MESSAGE(S) SENT] | Global Time - 01:47:24.126102 | Receiver(s) - [1] | Clock Time - 71
[MESSAGE(S) SENT] | Global Time - 01:47:24.296140 | Receiver(s) - [2] | Clock Time - 72
[INTERNAL] | Global Time - 01:47:24.468182 | No Messages Sent | Clock Time - 73
[MESSAGE(S) SENT] | Global Time - 01:47:24.641965 | Receiver(s) - [2] | Clock Time - 74
[INTERNAL] | Global Time - 01:47:24.816002 | No Messages Sent | Clock Time - 75
[INTERNAL] | Global Time - 01:47:24.984791 | No Messages Sent | Clock Time - 76
[MESSAGE RECEIVED] | Global Time - 01:47:25.155097 | Queue Length - 0 | Clock Time - 77
[INTERNAL] | Global Time - 01:47:25.325517 | No Messages Sent | Clock Time - 78
[MESSAGE(S) SENT] | Global Time - 01:47:25.499380 | Receiver(s) - [1] | Clock Time - 79
[MESSAGE(S) SENT] | Global Time - 01:47:25.670339 | Receiver(s) - [2] | Clock Time - 80
[MESSAGE(S) SENT] | Global Time - 01:47:25.841361 | Receiver(s) - [1, 2] | Clock Time - 81
[INTERNAL] | Global Time - 01:47:26.013377 | No Messages Sent | Clock Time - 82
[MESSAGE(S) SENT] | Global Time - 01:47:26.184087 | Receiver(s) - [1] | Clock Time - 83
[MESSAGE(S) SENT] | Global Time - 01:47:26.354732 | Receiver(s) - [1] | Clock Time - 84
[INTERNAL] | Global Time - 01:47:26.526437 | No Messages Sent | Clock Time - 85
[MESSAGE RECEIVED] | Global Time - 01:47:26.699712 | Queue Length - 0 | Clock Time - 86
[INTERNAL] | Global Time - 01:47:26.870806 | No Messages Sent | Clock Time - 87
[INTERNAL] | Global Time - 01:47:27.041139 | No Messages Sent | Clock Time - 88
[INTERNAL] | Global Time - 01:47:27.209025 | No Messages Sent | Clock Time - 89
[MESSAGE(S) SENT] | Global Time - 01:47:27.380981 | Receiver(s) - [1] | Clock Time - 90
[MESSAGE(S) SENT] | Global Time - 01:47:27.552850 | Receiver(s) - [1, 2] | Clock Time - 91
[INTERNAL] | Global Time - 01:47:27.721981 | No Messages Sent | Clock Time - 92
[INTERNAL] | Global Time - 01:47:27.890978 | No Messages Sent | Clock Time - 93
[INTERNAL] | Global Time - 01:47:28.063876 | No Messages Sent | Clock Time - 94
[MESSAGE RECEIVED] | Global Time - 01:47:28.232592 | Queue Length - 0 | Clock Time - 95
[INTERNAL] | Global Time - 01:47:28.406374 | No Messages Sent | Clock Time - 96
[MESSAGE RECEIVED] | Global Time - 01:47:28.575161 | Queue Length - 0 | Clock Time - 97
[INTERNAL] | Global Time - 01:47:28.746749 | No Messages Sent | Clock Time - 98
[INTERNAL] | Global Time - 01:47:28.919044 | No Messages Sent | Clock Time - 99
[INTERNAL] | Global Time - 01:47:29.091151 | No Messages Sent | Clock Time - 100
[INTERNAL] | Global Time - 01:47:29.264026 | No Messages Sent | Clock Time - 101
[INTERNAL] | Global Time - 01:47:29.434115 | No Messages Sent | Clock Time - 102
[MESSAGE(S) SENT] | Global Time - 01:47:29.607235 | Receiver(s) - [1, 2] | Clock Time - 103
[INTERNAL] | Global Time - 01:47:29.779510 | No Messages Sent | Clock Time - 104
[MESSAGE(S) SENT] | Global Time - 01:47:29.953180 | Receiver(s) - [2] | Clock Time - 105
[INTERNAL] | Global Time - 01:47:30.126472 | No Messages Sent | Clock Time - 106
[INTERNAL] | Global Time - 01:47:30.299188 | No Messages Sent | Clock Time - 107
[INTERNAL] | Global Time - 01:47:30.470739 | No Messages Sent | Clock Time - 108
