ticks per second: 5.0
[INTERNAL] | Global Time - 01:39:13.653310 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 01:39:13.858444 | No Messages Sent | Clock Time - 3
[INTERNAL] | Global Time - 01:39:14.061363 | No Messages Sent | Clock Time - 4
[INTERNAL] | Global Time - 01:39:14.266221 | No Messages Sent | Clock Time - 5
[MESSAGE RECEIVED] | Global Time - 01:39:14.468727 | Queue Length - 0 | Clock Time - 6
[INTERNAL] | Global Time - 01:39:14.675260 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:39:14.879159 | No Messages Sent | Clock Time - 8
[MESSAGE RECEIVED] | Global Time - 01:39:15.085085 | Queue Length - 0 | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 01:39:15.289510 | Queue Length - 0 | Clock Time - 11
[INTERNAL] | Global Time - 01:39:15.493915 | No Messages Sent | Clock Time - 12
[INTERNAL] | Global Time - 01:39:15.698618 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 01:39:15.899821 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 01:39:16.105038 | No Messages Sent | Clock Time - 15
[MESSAGE RECEIVED] | Global Time - 01:39:16.310624 | Queue Length - 0 | Clock Time - 17
[INTERNAL] | Global Time - 01:39:16.516684 | No Messages Sent | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 01:39:16.722504 | Queue Length - 0 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 01:39:16.923759 | Queue Length - 0 | Clock Time - 21
[INTERNAL] | Global Time - 01:39:17.129147 | No Messages Sent | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 01:39:17.335104 | Queue Length - 0 | Clock Time - 23
[INTERNAL] | Global Time - 01:39:17.539100 | No Messages Sent | Clock Time - 24
[MESSAGE RECEIVED] | Global Time - 01:39:17.745419 | Queue Length - 0 | Clock Time - 26
[MESSAGE(S) SENT] | Global Time - 01:39:17.950765 | Receiver(s) - [2] | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 01:39:18.155012 | Receiver(s) - [1] | Clock Time - 28
[INTERNAL] | Global Time - 01:39:18.361402 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 01:39:18.563688 | No Messages Sent | Clock Time - 30
[INTERNAL] | Global Time - 01:39:18.769223 | No Messages Sent | Clock Time - 31
[INTERNAL] | Global Time - 01:39:18.976909 | No Messages Sent | Clock Time - 32
[MESSAGE RECEIVED] | Global Time - 01:39:19.180722 | Queue Length - 0 | Clock Time - 34
[INTERNAL] | Global Time - 01:39:19.386852 | No Messages Sent | Clock Time - 35
[INTERNAL] | Global Time - 01:39:19.588361 | No Messages Sent | Clock Time - 36
[MESSAGE(S) SENT] | Global Time - 01:39:19.793986 | Receiver(s) - [1, 2] | Clock Time - 37
[MESSAGE(S) SENT] | Global Time - 01:39:19.996717 | Receiver(s) - [1, 2] | Clock Time - 38
[MESSAGE(S) SENT] | Global Time - 01:39:20.202290 | Receiver(s) - [1] | Clock Time - 39
[INTERNAL] | Global Time - 01:39:20.407513 | No Messages Sent | Clock Time - 40
[INTERNAL] | Global Time - 01:39:20.612835 | No Messages Sent | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 01:39:20.819178 | Queue Length - 0 | Clock Time - 43
[INTERNAL] | Global Time - 01:39:21.021533 | No Messages Sent | Clock Time - 44
[INTERNAL] | Global Time - 01:39:21.224485 | No Messages Sent | Clock Time - 45
[MESSAGE(S) SENT] | Global Time - 01:39:21.427924 | Receiver(s) - [1, 2] | Clock Time - 46
[INTERNAL] | Global Time - 01:39:21.630661 | No Messages Sent | Clock Time - 47
[INTERNAL] | Global Time - 01:39:21.835165 | No Messages Sent | Clock Time - 48
[INTERNAL] | Global Time - 01:39:22.040371 | No Messages Sent | Clock Time - 49
[INTERNAL] | Global Time - 01:39:22.242363 | No Messages Sent | Clock Time - 50
[MESSAGE RECEIVED] | Global Time - 01:39:22.446583 | Queue Length - 0 | Clock Time - 53
[INTERNAL] | Global Time - 01:39:22.651585 | No Messages Sent | Clock Time - 54
[INTERNAL] | Global Time - 01:39:22.857877 | No Messages Sent | Clock Time - 55
[MESSAGE RECEIVED] | Global Time - 01:39:23.062220 | Queue Length - 0 | Clock Time - 57
[INTERNAL] | Global Time - 01:39:23.268107 | No Messages Sent | Clock Time - 58
[INTERNAL] | Global Time - 01:39:23.474507 | No Messages Sent | Clock Time - 59
[INTERNAL] | Global Time - 01:39:23.677351 | No Messages Sent | Clock Time - 60
[MESSAGE RECEIVED] | Global Time - 01:39:23.881937 | Queue Length - 0 | Clock Time - 61
[MESSAGE(S) SENT] | Global Time - 01:39:24.083944 | Receiver(s) - [2] | Clock Time - 62
[MESSAGE RECEIVED] | Global Time - 01:39:24.289904 | Queue Length - 0 | Clock Time - 64
[MESSAGE(S) SENT] | Global Time - 01:39:24.495017 | Receiver(s) - [2] | Clock Time - 65
[MESSAGE(S) SENT] | Global Time - 01:39:24.700137 | Receiver(s) - [1, 2] | Clock Time - 66
[INTERNAL] | Global Time - 01:39:24.904781 | No Messages Sent | Clock Time - 67
[INTERNAL] | Global Time - 01:39:25.105938 | No Messages Sent | Clock Time - 68
[MESSAGE(S) SENT] | Global Time - 01:39:25.307009 | Receiver(s) - [2] | Clock Time - 69
[INTERNAL] | Global Time - 01:39:25.510819 | No Messages Sent | Clock Time - 70
[INTERNAL] | Global Time - 01:39:25.716008 | No Messages Sent | Clock Time - 71
[MESSAGE RECEIVED] | Global Time - 01:39:25.920500 | Queue Length - 0 | Clock Time - 73
[MESSAGE(S) SENT] | Global Time - 01:39:26.125722 | Receiver(s) - [2] | Clock Time - 74
[INTERNAL] | Global Time - 01:39:26.332235 | No Messages Sent | Clock Time - 75
[MESSAGE(S) SENT] | Global Time - 01:39:26.533761 | Receiver(s) - [2] | Clock Time - 76
[INTERNAL] | Global Time - 01:39:26.740216 | No Messages Sent | Clock Time - 77
[INTERNAL] | Global Time - 01:39:26.946128 | No Messages Sent | Clock Time - 78
[INTERNAL] | Global Time - 01:39:27.150431 | No Messages Sent | Clock Time - 79
[MESSAGE(S) SENT] | Global Time - 01:39:27.355889 | Receiver(s) - [1, 2] | Clock Time - 80
[INTERNAL] | Global Time - 01:39:27.561689 | No Messages Sent | Clock Time - 81
[MESSAGE RECEIVED] | Global Time - 01:39:27.768195 | Queue Length - 0 | Clock Time - 84
[MESSAGE RECEIVED] | Global Time - 01:39:27.971350 | Queue Length - 0 | Clock Time - 86
[INTERNAL] | Global Time - 01:39:28.176915 | No Messages Sent | Clock Time - 87
[INTERNAL] | Global Time - 01:39:28.381572 | No Messages Sent | Clock Time - 88
[MESSAGE RECEIVED] | Global Time - 01:39:28.584869 | Queue Length - 0 | Clock Time - 89
[MESSAGE(S) SENT] | Global Time - 01:39:28.789243 | Receiver(s) - [1, 2] | Clock Time - 90
[MESSAGE(S) SENT] | Global Time - 01:39:28.991759 | Receiver(s) - [1, 2] | Clock Time - 91
[INTERNAL] | Global Time - 01:39:29.196961 | No Messages Sent | Clock Time - 92
[MESSAGE(S) SENT] | Global Time - 01:39:29.398000 | Receiver(s) - [1, 2] | Clock Time - 93
[INTERNAL] | Global Time - 01:39:29.599322 | No Messages Sent | Clock Time - 94
[INTERNAL] | Global Time - 01:39:29.805055 | No Messages Sent | Clock Time - 95
[INTERNAL] | Global Time - 01:39:30.009722 | No Messages Sent | Clock Time - 96
[MESSAGE RECEIVED] | Global Time - 01:39:30.214532 | Queue Length - 0 | Clock Time - 98
[INTERNAL] | Global Time - 01:39:30.416657 | No Messages Sent | Clock Time - 99
[MESSAGE RECEIVED] | Global Time - 01:39:30.619123 | Queue Length - 0 | Clock Time - 101
[INTERNAL] | Global Time - 01:39:30.824855 | No Messages Sent | Clock Time - 102
[INTERNAL] | Global Time - 01:39:31.030552 | No Messages Sent | Clock Time - 103
[INTERNAL] | Global Time - 01:39:31.233705 | No Messages Sent | Clock Time - 104
[MESSAGE(S) SENT] | Global Time - 01:39:31.438725 | Receiver(s) - [2] | Clock Time - 105
[INTERNAL] | Global Time - 01:39:31.643683 | No Messages Sent | Clock Time - 106
[INTERNAL] | Global Time - 01:39:31.848819 | No Messages Sent | Clock Time - 107
[INTERNAL] | Global Time - 01:39:32.052740 | No Messages Sent | Clock Time - 108
