ticks per second: 5.0
[INTERNAL] | Global Time - 02:44:24.132758 | No Messages Sent | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 02:44:24.340011 | Receiver(s) - [2] | Clock Time - 3
[INTERNAL] | Global Time - 02:44:24.545414 | No Messages Sent | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 02:44:24.749608 | Queue Length - 0 | Clock Time - 5
[INTERNAL] | Global Time - 02:44:24.956122 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 02:44:25.162147 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 02:44:25.368163 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 02:44:25.573436 | No Messages Sent | Clock Time - 9
[INTERNAL] | Global Time - 02:44:25.779115 | No Messages Sent | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 02:44:25.982086 | Queue Length - 0 | Clock Time - 12
[MESSAGE(S) SENT] | Global Time - 02:44:26.188840 | Receiver(s) - [0, 2] | Clock Time - 13
[INTERNAL] | Global Time - 02:44:26.394859 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 02:44:26.599277 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 02:44:26.804867 | No Messages Sent | Clock Time - 16
[INTERNAL] | Global Time - 02:44:27.011033 | No Messages Sent | Clock Time - 17
[INTERNAL] | Global Time - 02:44:27.229143 | No Messages Sent | Clock Time - 18
[INTERNAL] | Global Time - 02:44:27.434285 | No Messages Sent | Clock Time - 19
[INTERNAL] | Global Time - 02:44:27.640004 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 02:44:27.841554 | No Messages Sent | Clock Time - 21
[INTERNAL] | Global Time - 02:44:28.046379 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 02:44:28.249209 | No Messages Sent | Clock Time - 23
[MESSAGE(S) SENT] | Global Time - 02:44:28.453779 | Receiver(s) - [0] | Clock Time - 24
[INTERNAL] | Global Time - 02:44:28.659204 | No Messages Sent | Clock Time - 25
