ticks per second: 2.0
[MESSAGE RECEIVED] | Global Time - 02:30:52.791592 | Queue Length - 0 | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 02:30:53.299314 | Queue Length - 1 | Clock Time - 4
[MESSAGE RECEIVED] | Global Time - 02:30:53.805338 | Queue Length - 1 | Clock Time - 6
[MESSAGE RECEIVED] | Global Time - 02:30:54.309673 | Queue Length - 2 | Clock Time - 7
[MESSAGE RECEIVED] | Global Time - 02:30:54.815222 | Queue Length - 3 | Clock Time - 8
[MESSAGE RECEIVED] | Global Time - 02:30:55.321052 | Queue Length - 5 | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 02:30:55.825174 | Queue Length - 7 | Clock Time - 13
[MESSAGE RECEIVED] | Global Time - 02:30:56.331337 | Queue Length - 7 | Clock Time - 15
[MESSAGE RECEIVED] | Global Time - 02:30:56.835030 | Queue Length - 8 | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 02:30:57.341154 | Queue Length - 8 | Clock Time - 17
[MESSAGE RECEIVED] | Global Time - 02:30:57.847337 | Queue Length - 7 | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 02:30:58.350782 | Queue Length - 9 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 02:30:58.857133 | Queue Length - 9 | Clock Time - 20
[MESSAGE RECEIVED] | Global Time - 02:30:59.363777 | Queue Length - 8 | Clock Time - 21
[MESSAGE RECEIVED] | Global Time - 02:30:59.871169 | Queue Length - 9 | Clock Time - 23
[MESSAGE RECEIVED] | Global Time - 02:31:00.376620 | Queue Length - 9 | Clock Time - 26
[MESSAGE RECEIVED] | Global Time - 02:31:00.880489 | Queue Length - 9 | Clock Time - 27
[MESSAGE RECEIVED] | Global Time - 02:31:01.384612 | Queue Length - 8 | Clock Time - 30
[MESSAGE RECEIVED] | Global Time - 02:31:01.887854 | Queue Length - 9 | Clock Time - 33
[MESSAGE RECEIVED] | Global Time - 02:31:02.391837 | Queue Length - 10 | Clock Time - 35
[MESSAGE RECEIVED] | Global Time - 02:31:02.895700 | Queue Length - 11 | Clock Time - 36
[MESSAGE RECEIVED] | Global Time - 02:31:03.402794 | Queue Length - 11 | Clock Time - 38
[MESSAGE RECEIVED] | Global Time - 02:31:03.908049 | Queue Length - 11 | Clock Time - 42
[MESSAGE RECEIVED] | Global Time - 02:31:04.412648 | Queue Length - 11 | Clock Time - 44
[MESSAGE RECEIVED] | Global Time - 02:31:04.919057 | Queue Length - 11 | Clock Time - 46
[MESSAGE RECEIVED] | Global Time - 02:31:05.423844 | Queue Length - 10 | Clock Time - 49
[MESSAGE RECEIVED] | Global Time - 02:31:05.930601 | Queue Length - 9 | Clock Time - 54
[MESSAGE RECEIVED] | Global Time - 02:31:06.436891 | Queue Length - 11 | Clock Time - 56
[MESSAGE RECEIVED] | Global Time - 02:31:06.939047 | Queue Length - 11 | Clock Time - 57
