ticks per second: 6.0
[INTERNAL] | Global Time - 01:43:08.844225 | No Messages Sent | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 01:43:09.014114 | Receiver(s) - [2] | Clock Time - 3
[MESSAGE(S) SENT] | Global Time - 01:43:09.186248 | Receiver(s) - [1] | Clock Time - 4
[MESSAGE(S) SENT] | Global Time - 01:43:09.373107 | Receiver(s) - [1, 2] | Clock Time - 5
[INTERNAL] | Global Time - 01:43:09.544152 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 01:43:09.715339 | No Messages Sent | Clock Time - 7
[MESSAGE(S) SENT] | Global Time - 01:43:09.884507 | Receiver(s) - [1] | Clock Time - 8
[MESSAGE(S) SENT] | Global Time - 01:43:10.056996 | Receiver(s) - [2] | Clock Time - 9
[INTERNAL] | Global Time - 01:43:10.228449 | No Messages Sent | Clock Time - 10
[INTERNAL] | Global Time - 01:43:10.400867 | No Messages Sent | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 01:43:10.572995 | Receiver(s) - [1, 2] | Clock Time - 12
[INTERNAL] | Global Time - 01:43:10.743716 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 01:43:10.916803 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 01:43:11.090015 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 01:43:11.260026 | No Messages Sent | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 01:43:11.429675 | Receiver(s) - [1] | Clock Time - 17
[INTERNAL] | Global Time - 01:43:11.600499 | No Messages Sent | Clock Time - 18
[INTERNAL] | Global Time - 01:43:11.769551 | No Messages Sent | Clock Time - 19
[INTERNAL] | Global Time - 01:43:11.937590 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 01:43:12.108217 | No Messages Sent | Clock Time - 21
[INTERNAL] | Global Time - 01:43:12.276706 | No Messages Sent | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 01:43:12.449524 | Queue Length - 0 | Clock Time - 23
[INTERNAL] | Global Time - 01:43:12.621468 | No Messages Sent | Clock Time - 24
[MESSAGE RECEIVED] | Global Time - 01:43:12.791561 | Queue Length - 0 | Clock Time - 25
[INTERNAL] | Global Time - 01:43:12.961822 | No Messages Sent | Clock Time - 26
[INTERNAL] | Global Time - 01:43:13.134592 | No Messages Sent | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 01:43:13.306914 | Receiver(s) - [1, 2] | Clock Time - 28
[INTERNAL] | Global Time - 01:43:13.477838 | No Messages Sent | Clock Time - 29
[INTERNAL] | Global Time - 01:43:13.663351 | No Messages Sent | Clock Time - 30
[MESSAGE(S) SENT] | Global Time - 01:43:13.833313 | Receiver(s) - [1, 2] | Clock Time - 31
[MESSAGE(S) SENT] | Global Time - 01:43:14.003720 | Receiver(s) - [2] | Clock Time - 32
[MESSAGE(S) SENT] | Global Time - 01:43:14.174721 | Receiver(s) - [1] | Clock Time - 33
[INTERNAL] | Global Time - 01:43:14.348226 | No Messages Sent | Clock Time - 34
[INTERNAL] | Global Time - 01:43:14.517813 | No Messages Sent | Clock Time - 35
[MESSAGE(S) SENT] | Global Time - 01:43:14.689373 | Receiver(s) - [1] | Clock Time - 36
[INTERNAL] | Global Time - 01:43:14.862215 | No Messages Sent | Clock Time - 37
[MESSAGE(S) SENT] | Global Time - 01:43:15.033143 | Receiver(s) - [1, 2] | Clock Time - 38
[INTERNAL] | Global Time - 01:43:15.205968 | No Messages Sent | Clock Time - 39
[INTERNAL] | Global Time - 01:43:15.378773 | No Messages Sent | Clock Time - 40
[MESSAGE(S) SENT] | Global Time - 01:43:15.547735 | Receiver(s) - [1, 2] | Clock Time - 41
[INTERNAL] | Global Time - 01:43:15.718070 | No Messages Sent | Clock Time - 42
[INTERNAL] | Global Time - 01:43:15.887087 | No Messages Sent | Clock Time - 43
[MESSAGE(S) SENT] | Global Time - 01:43:16.055362 | Receiver(s) - [1, 2] | Clock Time - 44
[MESSAGE(S) SENT] | Global Time - 01:43:16.226996 | Receiver(s) - [1] | Clock Time - 45
[INTERNAL] | Global Time - 01:43:16.398891 | No Messages Sent | Clock Time - 46
[INTERNAL] | Global Time - 01:43:16.567959 | No Messages Sent | Clock Time - 47
[INTERNAL] | Global Time - 01:43:16.738039 | No Messages Sent | Clock Time - 48
[MESSAGE RECEIVED] | Global Time - 01:43:16.906610 | Queue Length - 0 | Clock Time - 49
[INTERNAL] | Global Time - 01:43:17.074956 | No Messages Sent | Clock Time - 50
[MESSAGE RECEIVED] | Global Time - 01:43:17.246197 | Queue Length - 0 | Clock Time - 51
[INTERNAL] | Global Time - 01:43:17.416594 | No Messages Sent | Clock Time - 52
[INTERNAL] | Global Time - 01:43:17.589155 | No Messages Sent | Clock Time - 53
[INTERNAL] | Global Time - 01:43:17.758336 | No Messages Sent | Clock Time - 54
[MESSAGE(S) SENT] | Global Time - 01:43:17.929461 | Receiver(s) - [1] | Clock Time - 55
[MESSAGE(S) SENT] | Global Time - 01:43:18.099251 | Receiver(s) - [1, 2] | Clock Time - 56
[INTERNAL] | Global Time - 01:43:18.267267 | No Messages Sent | Clock Time - 57
[INTERNAL] | Global Time - 01:43:18.439502 | No Messages Sent | Clock Time - 58
[INTERNAL] | Global Time - 01:43:18.611101 | No Messages Sent | Clock Time - 59
[INTERNAL] | Global Time - 01:43:18.782233 | No Messages Sent | Clock Time - 60
[INTERNAL] | Global Time - 01:43:18.952235 | No Messages Sent | Clock Time - 61
[MESSAGE(S) SENT] | Global Time - 01:43:19.125350 | Receiver(s) - [1, 2] | Clock Time - 62
[INTERNAL] | Global Time - 01:43:19.298295 | No Messages Sent | Clock Time - 63
[INTERNAL] | Global Time - 01:43:19.469246 | No Messages Sent | Clock Time - 64
[MESSAGE(S) SENT] | Global Time - 01:43:19.642689 | Receiver(s) - [1] | Clock Time - 65
[MESSAGE(S) SENT] | Global Time - 01:43:19.814424 | Receiver(s) - [2] | Clock Time - 66
[MESSAGE(S) SENT] | Global Time - 01:43:19.986921 | Receiver(s) - [1, 2] | Clock Time - 67
[INTERNAL] | Global Time - 01:43:20.157758 | No Messages Sent | Clock Time - 68
[INTERNAL] | Global Time - 01:43:20.330592 | No Messages Sent | Clock Time - 69
[INTERNAL] | Global Time - 01:43:20.503382 | No Messages Sent | Clock Time - 70
[MESSAGE(S) SENT] | Global Time - 01:43:20.676099 | Receiver(s) - [1] | Clock Time - 71
[INTERNAL] | Global Time - 01:43:20.845458 | No Messages Sent | Clock Time - 72
[INTERNAL] | Global Time - 01:43:21.015919 | No Messages Sent | Clock Time - 73
[INTERNAL] | Global Time - 01:43:21.187995 | No Messages Sent | Clock Time - 74
[INTERNAL] | Global Time - 01:43:21.360378 | No Messages Sent | Clock Time - 75
[INTERNAL] | Global Time - 01:43:21.533912 | No Messages Sent | Clock Time - 76
[INTERNAL] | Global Time - 01:43:21.706620 | No Messages Sent | Clock Time - 77
[MESSAGE(S) SENT] | Global Time - 01:43:21.879121 | Receiver(s) - [1, 2] | Clock Time - 78
[INTERNAL] | Global Time - 01:43:22.052484 | No Messages Sent | Clock Time - 79
[MESSAGE(S) SENT] | Global Time - 01:43:22.225043 | Receiver(s) - [1] | Clock Time - 80
[INTERNAL] | Global Time - 01:43:22.394609 | No Messages Sent | Clock Time - 81
[MESSAGE RECEIVED] | Global Time - 01:43:22.566068 | Queue Length - 0 | Clock Time - 82
[INTERNAL] | Global Time - 01:43:22.736431 | No Messages Sent | Clock Time - 83
[MESSAGE(S) SENT] | Global Time - 01:43:22.909719 | Receiver(s) - [1, 2] | Clock Time - 84
[MESSAGE(S) SENT] | Global Time - 01:43:23.083168 | Receiver(s) - [1] | Clock Time - 85
[INTERNAL] | Global Time - 01:43:23.254799 | No Messages Sent | Clock Time - 86
[INTERNAL] | Global Time - 01:43:23.426122 | No Messages Sent | Clock Time - 87
[MESSAGE(S) SENT] | Global Time - 01:43:23.596078 | Receiver(s) - [2] | Clock Time - 88
[INTERNAL] | Global Time - 01:43:23.767572 | No Messages Sent | Clock Time - 89
[INTERNAL] | Global Time - 01:43:23.937268 | No Messages Sent | Clock Time - 90
[INTERNAL] | Global Time - 01:43:24.110212 | No Messages Sent | Clock Time - 91
[INTERNAL] | Global Time - 01:43:24.281869 | No Messages Sent | Clock Time - 92
[MESSAGE(S) SENT] | Global Time - 01:43:24.451230 | Receiver(s) - [1] | Clock Time - 93
[INTERNAL] | Global Time - 01:43:24.624263 | No Messages Sent | Clock Time - 94
[INTERNAL] | Global Time - 01:43:24.795700 | No Messages Sent | Clock Time - 95
[INTERNAL] | Global Time - 01:43:24.965356 | No Messages Sent | Clock Time - 96
[MESSAGE(S) SENT] | Global Time - 01:43:25.137497 | Receiver(s) - [2] | Clock Time - 97
[MESSAGE(S) SENT] | Global Time - 01:43:25.308116 | Receiver(s) - [2] | Clock Time - 98
[INTERNAL] | Global Time - 01:43:25.477950 | No Messages Sent | Clock Time - 99
[INTERNAL] | Global Time - 01:43:25.649158 | No Messages Sent | Clock Time - 100
[INTERNAL] | Global Time - 01:43:25.822832 | No Messages Sent | Clock Time - 101
[MESSAGE(S) SENT] | Global Time - 01:43:25.995305 | Receiver(s) - [1, 2] | Clock Time - 102
[INTERNAL] | Global Time - 01:43:26.167402 | No Messages Sent | Clock Time - 103
[INTERNAL] | Global Time - 01:43:26.340375 | No Messages Sent | Clock Time - 104
[INTERNAL] | Global Time - 01:43:26.512635 | No Messages Sent | Clock Time - 105
[INTERNAL] | Global Time - 01:43:26.685718 | No Messages Sent | Clock Time - 106
[MESSAGE(S) SENT] | Global Time - 01:43:26.856643 | Receiver(s) - [2] | Clock Time - 107
[INTERNAL] | Global Time - 01:43:27.028866 | No Messages Sent | Clock Time - 108
[INTERNAL] | Global Time - 01:43:27.198585 | No Messages Sent | Clock Time - 109
[MESSAGE(S) SENT] | Global Time - 01:43:27.367549 | Receiver(s) - [1] | Clock Time - 110
[INTERNAL] | Global Time - 01:43:27.540258 | No Messages Sent | Clock Time - 111
[INTERNAL] | Global Time - 01:43:27.709492 | No Messages Sent | Clock Time - 112
[INTERNAL] | Global Time - 01:43:27.879467 | No Messages Sent | Clock Time - 113
[MESSAGE RECEIVED] | Global Time - 01:43:28.052159 | Queue Length - 0 | Clock Time - 114
[INTERNAL] | Global Time - 01:43:28.222583 | No Messages Sent | Clock Time - 115
[MESSAGE(S) SENT] | Global Time - 01:43:28.393762 | Receiver(s) - [1, 2] | Clock Time - 116
[INTERNAL] | Global Time - 01:43:28.567438 | No Messages Sent | Clock Time - 117
[INTERNAL] | Global Time - 01:43:28.741150 | No Messages Sent | Clock Time - 118
[MESSAGE(S) SENT] | Global Time - 01:43:28.915184 | Receiver(s) - [1, 2] | Clock Time - 119
[INTERNAL] | Global Time - 01:43:29.088637 | No Messages Sent | Clock Time - 120
[INTERNAL] | Global Time - 01:43:29.261522 | No Messages Sent | Clock Time - 121
[INTERNAL] | Global Time - 01:43:29.432787 | No Messages Sent | Clock Time - 122
[INTERNAL] | Global Time - 01:43:29.604949 | No Messages Sent | Clock Time - 123
[MESSAGE RECEIVED] | Global Time - 01:43:29.778458 | Queue Length - 0 | Clock Time - 124
[INTERNAL] | Global Time - 01:43:29.948036 | No Messages Sent | Clock Time - 125
[INTERNAL] | Global Time - 01:43:30.116900 | No Messages Sent | Clock Time - 126
[MESSAGE(S) SENT] | Global Time - 01:43:30.288248 | Receiver(s) - [1, 2] | Clock Time - 127
[INTERNAL] | Global Time - 01:43:30.461212 | No Messages Sent | Clock Time - 128
[INTERNAL] | Global Time - 01:43:30.634816 | No Messages Sent | Clock Time - 129
[INTERNAL] | Global Time - 01:43:30.805395 | No Messages Sent | Clock Time - 130
[INTERNAL] | Global Time - 01:43:30.975332 | No Messages Sent | Clock Time - 131
[INTERNAL] | Global Time - 01:43:31.145190 | No Messages Sent | Clock Time - 132
[INTERNAL] | Global Time - 01:43:31.316557 | No Messages Sent | Clock Time - 133
[INTERNAL] | Global Time - 01:43:31.487391 | No Messages Sent | Clock Time - 134
[INTERNAL] | Global Time - 01:43:31.657949 | No Messages Sent | Clock Time - 135
[INTERNAL] | Global Time - 01:43:31.828921 | No Messages Sent | Clock Time - 136
[INTERNAL] | Global Time - 01:43:32.000354 | No Messages Sent | Clock Time - 137
[MESSAGE RECEIVED] | Global Time - 01:43:32.170122 | Queue Length - 0 | Clock Time - 138
[INTERNAL] | Global Time - 01:43:32.340530 | No Messages Sent | Clock Time - 139
[MESSAGE(S) SENT] | Global Time - 01:43:32.511394 | Receiver(s) - [1] | Clock Time - 140
[INTERNAL] | Global Time - 01:43:32.683718 | No Messages Sent | Clock Time - 141
[MESSAGE(S) SENT] | Global Time - 01:43:32.853141 | Receiver(s) - [1, 2] | Clock Time - 142
[MESSAGE(S) SENT] | Global Time - 01:43:33.026447 | Receiver(s) - [1] | Clock Time - 143
[INTERNAL] | Global Time - 01:43:33.194662 | No Messages Sent | Clock Time - 144
[MESSAGE(S) SENT] | Global Time - 01:43:33.365389 | Receiver(s) - [1] | Clock Time - 145
[MESSAGE(S) SENT] | Global Time - 01:43:33.536788 | Receiver(s) - [2] | Clock Time - 146
[INTERNAL] | Global Time - 01:43:33.708522 | No Messages Sent | Clock Time - 147
[MESSAGE(S) SENT] | Global Time - 01:43:33.880367 | Receiver(s) - [1] | Clock Time - 148
[MESSAGE(S) SENT] | Global Time - 01:43:34.052027 | Receiver(s) - [1, 2] | Clock Time - 149
[INTERNAL] | Global Time - 01:43:34.224195 | No Messages Sent | Clock Time - 150
[INTERNAL] | Global Time - 01:43:34.394810 | No Messages Sent | Clock Time - 151
[INTERNAL] | Global Time - 01:43:34.564507 | No Messages Sent | Clock Time - 152
[MESSAGE RECEIVED] | Global Time - 01:43:34.736004 | Queue Length - 0 | Clock Time - 153
[MESSAGE(S) SENT] | Global Time - 01:43:34.908976 | Receiver(s) - [1, 2] | Clock Time - 154
[INTERNAL] | Global Time - 01:43:35.082672 | No Messages Sent | Clock Time - 155
[MESSAGE(S) SENT] | Global Time - 01:43:35.255380 | Receiver(s) - [1] | Clock Time - 156
[INTERNAL] | Global Time - 01:43:35.425940 | No Messages Sent | Clock Time - 157
