ticks per second: 6.0
[INTERNAL] | Global Time - 01:39:13.620847 | No Messages Sent | Clock Time - 2
[INTERNAL] | Global Time - 01:39:13.792445 | No Messages Sent | Clock Time - 3
[INTERNAL] | Global Time - 01:39:13.962021 | No Messages Sent | Clock Time - 4
[INTERNAL] | Global Time - 01:39:14.130855 | No Messages Sent | Clock Time - 5
[MESSAGE(S) SENT] | Global Time - 01:39:14.300386 | Receiver(s) - [0] | Clock Time - 6
[INTERNAL] | Global Time - 01:39:14.473651 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:39:14.643535 | No Messages Sent | Clock Time - 8
[INTERNAL] | Global Time - 01:39:14.815958 | No Messages Sent | Clock Time - 9
[MESSAGE(S) SENT] | Global Time - 01:39:14.987209 | Receiver(s) - [0, 2] | Clock Time - 10
[MESSAGE(S) SENT] | Global Time - 01:39:15.157193 | Receiver(s) - [0, 2] | Clock Time - 11
[INTERNAL] | Global Time - 01:39:15.325321 | No Messages Sent | Clock Time - 12
[INTERNAL] | Global Time - 01:39:15.493915 | No Messages Sent | Clock Time - 13
[INTERNAL] | Global Time - 01:39:15.665687 | No Messages Sent | Clock Time - 14
[MESSAGE(S) SENT] | Global Time - 01:39:15.839150 | Receiver(s) - [2] | Clock Time - 15
[INTERNAL] | Global Time - 01:39:16.013918 | No Messages Sent | Clock Time - 16
[MESSAGE(S) SENT] | Global Time - 01:39:16.185208 | Receiver(s) - [0] | Clock Time - 17
[INTERNAL] | Global Time - 01:39:16.357631 | No Messages Sent | Clock Time - 18
[MESSAGE(S) SENT] | Global Time - 01:39:16.530148 | Receiver(s) - [0] | Clock Time - 19
[INTERNAL] | Global Time - 01:39:16.702025 | No Messages Sent | Clock Time - 20
[MESSAGE(S) SENT] | Global Time - 01:39:16.871810 | Receiver(s) - [0, 2] | Clock Time - 21
[INTERNAL] | Global Time - 01:39:17.042921 | No Messages Sent | Clock Time - 22
[MESSAGE(S) SENT] | Global Time - 01:39:17.214847 | Receiver(s) - [0] | Clock Time - 23
[INTERNAL] | Global Time - 01:39:17.388391 | No Messages Sent | Clock Time - 24
[INTERNAL] | Global Time - 01:39:17.558353 | No Messages Sent | Clock Time - 25
[MESSAGE(S) SENT] | Global Time - 01:39:17.728098 | Receiver(s) - [0, 2] | Clock Time - 26
[INTERNAL] | Global Time - 01:39:17.898983 | No Messages Sent | Clock Time - 27
[INTERNAL] | Global Time - 01:39:18.071022 | No Messages Sent | Clock Time - 28
[MESSAGE RECEIVED] | Global Time - 01:39:18.242611 | Queue Length - 0 | Clock Time - 29
[MESSAGE(S) SENT] | Global Time - 01:39:18.411543 | Receiver(s) - [2] | Clock Time - 30
[MESSAGE(S) SENT] | Global Time - 01:39:18.584692 | Receiver(s) - [2] | Clock Time - 31
[INTERNAL] | Global Time - 01:39:18.757683 | No Messages Sent | Clock Time - 32
[MESSAGE(S) SENT] | Global Time - 01:39:18.928383 | Receiver(s) - [2] | Clock Time - 33
[MESSAGE(S) SENT] | Global Time - 01:39:19.099385 | Receiver(s) - [0, 2] | Clock Time - 34
[INTERNAL] | Global Time - 01:39:19.271517 | No Messages Sent | Clock Time - 35
[INTERNAL] | Global Time - 01:39:19.443888 | No Messages Sent | Clock Time - 36
[INTERNAL] | Global Time - 01:39:19.613998 | No Messages Sent | Clock Time - 37
[INTERNAL] | Global Time - 01:39:19.784664 | No Messages Sent | Clock Time - 38
[MESSAGE RECEIVED] | Global Time - 01:39:19.954282 | Queue Length - 0 | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 01:39:20.125035 | Queue Length - 0 | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 01:39:20.293993 | Queue Length - 0 | Clock Time - 41
[MESSAGE(S) SENT] | Global Time - 01:39:20.466996 | Receiver(s) - [2] | Clock Time - 42
[MESSAGE(S) SENT] | Global Time - 01:39:20.637148 | Receiver(s) - [0] | Clock Time - 43
[INTERNAL] | Global Time - 01:39:20.807288 | No Messages Sent | Clock Time - 44
[INTERNAL] | Global Time - 01:39:20.975164 | No Messages Sent | Clock Time - 45
[INTERNAL] | Global Time - 01:39:21.142755 | No Messages Sent | Clock Time - 46
[INTERNAL] | Global Time - 01:39:21.312870 | No Messages Sent | Clock Time - 47
[MESSAGE RECEIVED] | Global Time - 01:39:21.485378 | Queue Length - 0 | Clock Time - 48
[INTERNAL] | Global Time - 01:39:21.652935 | No Messages Sent | Clock Time - 49
[MESSAGE(S) SENT] | Global Time - 01:39:21.825509 | Receiver(s) - [2] | Clock Time - 50
[INTERNAL] | Global Time - 01:39:21.996706 | No Messages Sent | Clock Time - 51
[INTERNAL] | Global Time - 01:39:22.168254 | No Messages Sent | Clock Time - 52
[MESSAGE(S) SENT] | Global Time - 01:39:22.338215 | Receiver(s) - [0] | Clock Time - 53
[INTERNAL] | Global Time - 01:39:22.510034 | No Messages Sent | Clock Time - 54
[INTERNAL] | Global Time - 01:39:22.681334 | No Messages Sent | Clock Time - 55
[MESSAGE(S) SENT] | Global Time - 01:39:22.851986 | Receiver(s) - [2] | Clock Time - 56
[MESSAGE(S) SENT] | Global Time - 01:39:23.025557 | Receiver(s) - [0] | Clock Time - 57
[INTERNAL] | Global Time - 01:39:23.195027 | No Messages Sent | Clock Time - 58
[INTERNAL] | Global Time - 01:39:23.367700 | No Messages Sent | Clock Time - 59
[INTERNAL] | Global Time - 01:39:23.536312 | No Messages Sent | Clock Time - 60
[MESSAGE(S) SENT] | Global Time - 01:39:23.703814 | Receiver(s) - [0, 2] | Clock Time - 61
[INTERNAL] | Global Time - 01:39:23.875372 | No Messages Sent | Clock Time - 62
[INTERNAL] | Global Time - 01:39:24.045853 | No Messages Sent | Clock Time - 63
[MESSAGE(S) SENT] | Global Time - 01:39:24.216992 | Receiver(s) - [0] | Clock Time - 64
[INTERNAL] | Global Time - 01:39:24.385484 | No Messages Sent | Clock Time - 65
[INTERNAL] | Global Time - 01:39:24.552942 | No Messages Sent | Clock Time - 66
[MESSAGE RECEIVED] | Global Time - 01:39:24.722820 | Queue Length - 0 | Clock Time - 67
[INTERNAL] | Global Time - 01:39:24.893855 | No Messages Sent | Clock Time - 68
[INTERNAL] | Global Time - 01:39:25.065590 | No Messages Sent | Clock Time - 69
[INTERNAL] | Global Time - 01:39:25.234432 | No Messages Sent | Clock Time - 70
[INTERNAL] | Global Time - 01:39:25.403473 | No Messages Sent | Clock Time - 71
[INTERNAL] | Global Time - 01:39:25.574477 | No Messages Sent | Clock Time - 72
[MESSAGE(S) SENT] | Global Time - 01:39:25.747616 | Receiver(s) - [0, 2] | Clock Time - 73
[INTERNAL] | Global Time - 01:39:25.916399 | No Messages Sent | Clock Time - 74
[INTERNAL] | Global Time - 01:39:26.087052 | No Messages Sent | Clock Time - 75
[INTERNAL] | Global Time - 01:39:26.258641 | No Messages Sent | Clock Time - 76
[INTERNAL] | Global Time - 01:39:26.427470 | No Messages Sent | Clock Time - 77
[INTERNAL] | Global Time - 01:39:26.599928 | No Messages Sent | Clock Time - 78
[INTERNAL] | Global Time - 01:39:26.771972 | No Messages Sent | Clock Time - 79
[INTERNAL] | Global Time - 01:39:26.943921 | No Messages Sent | Clock Time - 80
[INTERNAL] | Global Time - 01:39:27.116191 | No Messages Sent | Clock Time - 81
[INTERNAL] | Global Time - 01:39:27.286148 | No Messages Sent | Clock Time - 82
[MESSAGE RECEIVED] | Global Time - 01:39:27.458535 | Queue Length - 0 | Clock Time - 83
[MESSAGE(S) SENT] | Global Time - 01:39:27.626513 | Receiver(s) - [0, 2] | Clock Time - 84
[INTERNAL] | Global Time - 01:39:27.799780 | No Messages Sent | Clock Time - 85
[MESSAGE(S) SENT] | Global Time - 01:39:27.970054 | Receiver(s) - [0] | Clock Time - 86
[INTERNAL] | Global Time - 01:39:28.142057 | No Messages Sent | Clock Time - 87
[INTERNAL] | Global Time - 01:39:28.314280 | No Messages Sent | Clock Time - 88
