ticks per second: 5.0
[MESSAGE(S) SENT] | Global Time - 01:20:34.165565 | Receiver(s) - [2] | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 01:20:34.370078 | Queue Length - 0 | Clock Time - 3
[MESSAGE RECEIVED] | Global Time - 01:20:34.575642 | Queue Length - 0 | Clock Time - 4
[INTERNAL] | Global Time - 01:20:34.780690 | No Messages Sent | Clock Time - 5
[INTERNAL] | Global Time - 01:20:34.984007 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 01:20:35.187016 | No Messages Sent | Clock Time - 7
[INTERNAL] | Global Time - 01:20:35.391288 | No Messages Sent | Clock Time - 8
[MESSAGE RECEIVED] | Global Time - 01:20:35.593472 | Queue Length - 0 | Clock Time - 9
[MESSAGE(S) SENT] | Global Time - 01:20:35.797997 | Receiver(s) - [0, 2] | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 01:20:36.000368 | Queue Length - 0 | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 01:20:36.205783 | Receiver(s) - [2] | Clock Time - 12
[MESSAGE(S) SENT] | Global Time - 01:20:36.409964 | Receiver(s) - [0] | Clock Time - 13
[INTERNAL] | Global Time - 01:20:36.614271 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 01:20:36.834034 | No Messages Sent | Clock Time - 15
[MESSAGE RECEIVED] | Global Time - 01:20:37.038461 | Queue Length - 0 | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 01:20:37.244598 | Queue Length - 0 | Clock Time - 17
[INTERNAL] | Global Time - 01:20:37.451830 | No Messages Sent | Clock Time - 18
[MESSAGE RECEIVED] | Global Time - 01:20:37.653684 | Queue Length - 0 | Clock Time - 19
[MESSAGE RECEIVED] | Global Time - 01:20:37.856049 | Queue Length - 0 | Clock Time - 20
[MESSAGE RECEIVED] | Global Time - 01:20:38.061449 | Queue Length - 0 | Clock Time - 21
[INTERNAL] | Global Time - 01:20:38.262638 | No Messages Sent | Clock Time - 22
[INTERNAL] | Global Time - 01:20:38.469447 | No Messages Sent | Clock Time - 23
[MESSAGE RECEIVED] | Global Time - 01:20:38.675445 | Queue Length - 0 | Clock Time - 24
[INTERNAL] | Global Time - 01:20:38.882242 | No Messages Sent | Clock Time - 25
