ticks per second: 4.0
[MESSAGE RECEIVED] | Global Time - 01:20:34.217539 | Queue Length - 0 | Clock Time - 2
[MESSAGE RECEIVED] | Global Time - 01:20:34.469541 | Queue Length - 0 | Clock Time - 3
[INTERNAL] | Global Time - 01:20:34.723409 | No Messages Sent | Clock Time - 4
[INTERNAL] | Global Time - 01:20:34.975078 | No Messages Sent | Clock Time - 5
[INTERNAL] | Global Time - 01:20:35.231697 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 01:20:35.486957 | No Messages Sent | Clock Time - 7
[MESSAGE RECEIVED] | Global Time - 01:20:35.743374 | Queue Length - 0 | Clock Time - 9
[MESSAGE RECEIVED] | Global Time - 01:20:35.999329 | Queue Length - 0 | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 01:20:36.254958 | Queue Length - 1 | Clock Time - 12
[MESSAGE RECEIVED] | Global Time - 01:20:36.509231 | Queue Length - 0 | Clock Time - 13
[INTERNAL] | Global Time - 01:20:36.763219 | No Messages Sent | Clock Time - 14
[INTERNAL] | Global Time - 01:20:37.019935 | No Messages Sent | Clock Time - 15
[INTERNAL] | Global Time - 01:20:37.275719 | No Messages Sent | Clock Time - 16
[MESSAGE RECEIVED] | Global Time - 01:20:37.529735 | Queue Length - 0 | Clock Time - 18
[MESSAGE(S) SENT] | Global Time - 01:20:37.785301 | Receiver(s) - [1] | Clock Time - 19
[MESSAGE(S) SENT] | Global Time - 01:20:38.042108 | Receiver(s) - [1] | Clock Time - 20
[MESSAGE RECEIVED] | Global Time - 01:20:38.295869 | Queue Length - 0 | Clock Time - 22
[MESSAGE RECEIVED] | Global Time - 01:20:38.548457 | Queue Length - 0 | Clock Time - 23
[MESSAGE(S) SENT] | Global Time - 01:20:38.805562 | Receiver(s) - [0] | Clock Time - 24
[MESSAGE(S) SENT] | Global Time - 01:20:39.062200 | Receiver(s) - [0] | Clock Time - 25
[MESSAGE RECEIVED] | Global Time - 01:20:39.313656 | Queue Length - 0 | Clock Time - 26
[INTERNAL] | Global Time - 01:20:39.568465 | No Messages Sent | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 01:20:39.820773 | Receiver(s) - [0] | Clock Time - 28
[MESSAGE(S) SENT] | Global Time - 01:20:40.076593 | Receiver(s) - [0] | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 01:20:40.332023 | Queue Length - 0 | Clock Time - 31
[INTERNAL] | Global Time - 01:20:40.586724 | No Messages Sent | Clock Time - 32
[MESSAGE(S) SENT] | Global Time - 01:20:40.842992 | Receiver(s) - [0, 1] | Clock Time - 33
[MESSAGE(S) SENT] | Global Time - 01:20:41.098442 | Receiver(s) - [0, 1] | Clock Time - 34
[INTERNAL] | Global Time - 01:20:41.352508 | No Messages Sent | Clock Time - 35
[MESSAGE RECEIVED] | Global Time - 01:20:41.606985 | Queue Length - 0 | Clock Time - 38
[INTERNAL] | Global Time - 01:20:41.860839 | No Messages Sent | Clock Time - 39
[MESSAGE(S) SENT] | Global Time - 01:20:42.115616 | Receiver(s) - [0, 1] | Clock Time - 40
[MESSAGE(S) SENT] | Global Time - 01:20:42.372117 | Receiver(s) - [1] | Clock Time - 41
[MESSAGE RECEIVED] | Global Time - 01:20:42.625990 | Queue Length - 0 | Clock Time - 43
[INTERNAL] | Global Time - 01:20:42.878452 | No Messages Sent | Clock Time - 44
[INTERNAL] | Global Time - 01:20:43.130693 | No Messages Sent | Clock Time - 45
[MESSAGE RECEIVED] | Global Time - 01:20:43.387063 | Queue Length - 1 | Clock Time - 47
[MESSAGE RECEIVED] | Global Time - 01:20:43.641422 | Queue Length - 0 | Clock Time - 48
[INTERNAL] | Global Time - 01:20:43.896292 | No Messages Sent | Clock Time - 49
[INTERNAL] | Global Time - 01:20:44.150924 | No Messages Sent | Clock Time - 50
[MESSAGE(S) SENT] | Global Time - 01:20:44.406746 | Receiver(s) - [0, 1] | Clock Time - 51
[MESSAGE RECEIVED] | Global Time - 01:20:44.661416 | Queue Length - 0 | Clock Time - 53
[MESSAGE(S) SENT] | Global Time - 01:20:44.916898 | Receiver(s) - [0, 1] | Clock Time - 54
[INTERNAL] | Global Time - 01:20:45.174012 | No Messages Sent | Clock Time - 55
[INTERNAL] | Global Time - 01:20:45.428028 | No Messages Sent | Clock Time - 56
[MESSAGE RECEIVED] | Global Time - 01:20:45.680277 | Queue Length - 0 | Clock Time - 57
[MESSAGE RECEIVED] | Global Time - 01:20:45.934579 | Queue Length - 0 | Clock Time - 59
