ticks per second: 5.0
[MESSAGE(S) SENT] | Global Time - 01:20:34.165561 | Receiver(s) - [1] | Clock Time - 2
[MESSAGE(S) SENT] | Global Time - 01:20:34.370328 | Receiver(s) - [1, 2] | Clock Time - 3
[INTERNAL] | Global Time - 01:20:34.576624 | No Messages Sent | Clock Time - 4
[INTERNAL] | Global Time - 01:20:34.781481 | No Messages Sent | Clock Time - 5
[INTERNAL] | Global Time - 01:20:34.984010 | No Messages Sent | Clock Time - 6
[INTERNAL] | Global Time - 01:20:35.187020 | No Messages Sent | Clock Time - 7
[MESSAGE(S) SENT] | Global Time - 01:20:35.391381 | Receiver(s) - [1] | Clock Time - 8
[MESSAGE(S) SENT] | Global Time - 01:20:35.593595 | Receiver(s) - [2] | Clock Time - 9
[MESSAGE(S) SENT] | Global Time - 01:20:35.797986 | Receiver(s) - [1] | Clock Time - 10
[MESSAGE RECEIVED] | Global Time - 01:20:36.000342 | Queue Length - 0 | Clock Time - 11
[MESSAGE(S) SENT] | Global Time - 01:20:36.205705 | Receiver(s) - [2] | Clock Time - 12
[INTERNAL] | Global Time - 01:20:36.409848 | No Messages Sent | Clock Time - 13
[MESSAGE RECEIVED] | Global Time - 01:20:36.614136 | Queue Length - 0 | Clock Time - 14
[MESSAGE(S) SENT] | Global Time - 01:20:36.834180 | Receiver(s) - [1] | Clock Time - 15
[MESSAGE(S) SENT] | Global Time - 01:20:37.038735 | Receiver(s) - [1] | Clock Time - 16
[INTERNAL] | Global Time - 01:20:37.244734 | No Messages Sent | Clock Time - 17
[MESSAGE(S) SENT] | Global Time - 01:20:37.452059 | Receiver(s) - [1, 2] | Clock Time - 18
[INTERNAL] | Global Time - 01:20:37.653772 | No Messages Sent | Clock Time - 19
[INTERNAL] | Global Time - 01:20:37.856113 | No Messages Sent | Clock Time - 20
[INTERNAL] | Global Time - 01:20:38.061491 | No Messages Sent | Clock Time - 21
[MESSAGE(S) SENT] | Global Time - 01:20:38.262727 | Receiver(s) - [2] | Clock Time - 22
[MESSAGE(S) SENT] | Global Time - 01:20:38.469639 | Receiver(s) - [1, 2] | Clock Time - 23
[INTERNAL] | Global Time - 01:20:38.675576 | No Messages Sent | Clock Time - 24
[MESSAGE RECEIVED] | Global Time - 01:20:38.882154 | Queue Length - 0 | Clock Time - 25
[MESSAGE RECEIVED] | Global Time - 01:20:39.086949 | Queue Length - 0 | Clock Time - 26
[MESSAGE(S) SENT] | Global Time - 01:20:39.291210 | Receiver(s) - [1] | Clock Time - 27
[MESSAGE(S) SENT] | Global Time - 01:20:39.497107 | Receiver(s) - [1] | Clock Time - 28
[INTERNAL] | Global Time - 01:20:39.703466 | No Messages Sent | Clock Time - 29
[MESSAGE RECEIVED] | Global Time - 01:20:39.909016 | Queue Length - 0 | Clock Time - 30
[MESSAGE RECEIVED] | Global Time - 01:20:40.111778 | Queue Length - 0 | Clock Time - 31
[MESSAGE RECEIVED] | Global Time - 01:20:40.317432 | Queue Length - 0 | Clock Time - 32
[MESSAGE RECEIVED] | Global Time - 01:20:40.523006 | Queue Length - 0 | Clock Time - 33
[INTERNAL] | Global Time - 01:20:40.728214 | No Messages Sent | Clock Time - 34
[MESSAGE RECEIVED] | Global Time - 01:20:40.929788 | Queue Length - 0 | Clock Time - 35
[MESSAGE RECEIVED] | Global Time - 01:20:41.135306 | Queue Length - 0 | Clock Time - 36
[INTERNAL] | Global Time - 01:20:41.341059 | No Messages Sent | Clock Time - 37
[MESSAGE(S) SENT] | Global Time - 01:20:41.542782 | Receiver(s) - [2] | Clock Time - 38
[INTERNAL] | Global Time - 01:20:41.748189 | No Messages Sent | Clock Time - 39
[MESSAGE RECEIVED] | Global Time - 01:20:41.951430 | Queue Length - 0 | Clock Time - 40
[MESSAGE RECEIVED] | Global Time - 01:20:42.153767 | Queue Length - 0 | Clock Time - 41
[INTERNAL] | Global Time - 01:20:42.359458 | No Messages Sent | Clock Time - 42
[MESSAGE(S) SENT] | Global Time - 01:20:42.565604 | Receiver(s) - [1, 2] | Clock Time - 43
