ticks per second: 3.0
[MESSAGE(S) SENT] | Global Time - 01:43:32.004131 | Receiver(s) - [0] | Clock Time - 132
[INTERNAL] | Global Time - 01:43:32.340665 | No Messages Sent | Clock Time - 133
[INTERNAL] | Global Time - 01:43:32.678730 | No Messages Sent | Clock Time - 134
[MESSAGE RECEIVED] | Global Time - 01:43:33.017552 | Queue Length - 0 | Clock Time - 142
[INTERNAL] | Global Time - 01:43:33.357356 | No Messages Sent | Clock Time - 143
[MESSAGE RECEIVED] | Global Time - 01:43:33.694526 | Queue Length - 0 | Clock Time - 146
[INTERNAL] | Global Time - 01:43:34.034799 | No Messages Sent | Clock Time - 147
[MESSAGE RECEIVED] | Global Time - 01:43:34.373328 | Queue Length - 0 | Clock Time - 149
[MESSAGE(S) SENT] | Global Time - 01:43:34.712969 | Receiver(s) - [0] | Clock Time - 150
[MESSAGE RECEIVED] | Global Time - 01:43:35.052779 | Queue Length - 0 | Clock Time - 154
[INTERNAL] | Global Time - 01:43:35.393234 | No Messages Sent | Clock Time - 155
[MESSAGE RECEIVED] | Global Time - 01:43:35.731361 | Queue Length - 0 | Clock Time - 158
[MESSAGE RECEIVED] | Global Time - 01:43:36.067451 | Queue Length - 0 | Clock Time - 160
[MESSAGE RECEIVED] | Global Time - 01:43:36.407554 | Queue Length - 0 | Clock Time - 162
[INTERNAL] | Global Time - 01:43:36.744082 | No Messages Sent | Clock Time - 163
[MESSAGE RECEIVED] | Global Time - 01:43:37.079543 | Queue Length - 0 | Clock Time - 166
[MESSAGE(S) SENT] | Global Time - 01:43:37.419576 | Receiver(s) - [0] | Clock Time - 167
[MESSAGE(S) SENT] | Global Time - 01:43:37.759232 | Receiver(s) - [0, 1] | Clock Time - 168
[INTERNAL] | Global Time - 01:43:38.096934 | No Messages Sent | Clock Time - 169
[MESSAGE RECEIVED] | Global Time - 01:43:38.432232 | Queue Length - 0 | Clock Time - 174
[MESSAGE(S) SENT] | Global Time - 01:43:38.771537 | Receiver(s) - [0, 1] | Clock Time - 175
[INTERNAL] | Global Time - 01:43:39.106748 | No Messages Sent | Clock Time - 176
[INTERNAL] | Global Time - 01:43:39.444134 | No Messages Sent | Clock Time - 177
[INTERNAL] | Global Time - 01:43:39.782259 | No Messages Sent | Clock Time - 178
[INTERNAL] | Global Time - 01:43:40.120436 | No Messages Sent | Clock Time - 179
[INTERNAL] | Global Time - 01:43:40.454853 | No Messages Sent | Clock Time - 180
[MESSAGE(S) SENT] | Global Time - 01:43:40.793814 | Receiver(s) - [0, 1] | Clock Time - 181
[INTERNAL] | Global Time - 01:43:41.131748 | No Messages Sent | Clock Time - 182
[MESSAGE RECEIVED] | Global Time - 01:43:41.468080 | Queue Length - 0 | Clock Time - 192
[INTERNAL] | Global Time - 01:43:41.807651 | No Messages Sent | Clock Time - 193
[MESSAGE(S) SENT] | Global Time - 01:43:42.146483 | Receiver(s) - [0] | Clock Time - 194
[INTERNAL] | Global Time - 01:43:42.481344 | No Messages Sent | Clock Time - 195
[INTERNAL] | Global Time - 01:43:42.819045 | No Messages Sent | Clock Time - 196
[INTERNAL] | Global Time - 01:43:43.157163 | No Messages Sent | Clock Time - 197
[MESSAGE RECEIVED] | Global Time - 01:43:43.495530 | Queue Length - 0 | Clock Time - 204
[INTERNAL] | Global Time - 01:43:43.834286 | No Messages Sent | Clock Time - 205
[INTERNAL] | Global Time - 01:43:44.173435 | No Messages Sent | Clock Time - 206
[INTERNAL] | Global Time - 01:43:44.511588 | No Messages Sent | Clock Time - 207
[MESSAGE(S) SENT] | Global Time - 01:43:44.848581 | Receiver(s) - [0] | Clock Time - 208
[MESSAGE(S) SENT] | Global Time - 01:43:45.186638 | Receiver(s) - [1] | Clock Time - 209
[INTERNAL] | Global Time - 01:43:45.520611 | No Messages Sent | Clock Time - 210
[MESSAGE(S) SENT] | Global Time - 01:43:45.855082 | Receiver(s) - [0, 1] | Clock Time - 211
[INTERNAL] | Global Time - 01:43:46.193800 | No Messages Sent | Clock Time - 212
[MESSAGE RECEIVED] | Global Time - 01:43:46.532754 | Queue Length - 0 | Clock Time - 220
[INTERNAL] | Global Time - 01:43:46.896929 | No Messages Sent | Clock Time - 221
[MESSAGE RECEIVED] | Global Time - 01:43:47.235469 | Queue Length - 0 | Clock Time - 224
[INTERNAL] | Global Time - 01:43:47.576530 | No Messages Sent | Clock Time - 225
[INTERNAL] | Global Time - 01:43:47.913387 | No Messages Sent | Clock Time - 226
[MESSAGE RECEIVED] | Global Time - 01:43:48.250041 | Queue Length - 0 | Clock Time - 231
