ticks per second: 2.0
[INTERNAL] | Global Time - 01:47:45.416925 | No Messages Sent | Clock Time - 191
[MESSAGE(S) SENT] | Global Time - 01:47:45.920635 | Receiver(s) - [2] | Clock Time - 192
[INTERNAL] | Global Time - 01:47:46.425481 | No Messages Sent | Clock Time - 193
[INTERNAL] | Global Time - 01:47:46.926364 | No Messages Sent | Clock Time - 194
[INTERNAL] | Global Time - 01:47:47.431571 | No Messages Sent | Clock Time - 195
[MESSAGE RECEIVED] | Global Time - 01:47:47.934054 | Queue Length - 0 | Clock Time - 207
[INTERNAL] | Global Time - 01:47:48.438353 | No Messages Sent | Clock Time - 208
[MESSAGE RECEIVED] | Global Time - 01:47:48.940212 | Queue Length - 1 | Clock Time - 212
[MESSAGE RECEIVED] | Global Time - 01:47:49.444402 | Queue Length - 2 | Clock Time - 213
[MESSAGE RECEIVED] | Global Time - 01:47:49.949237 | Queue Length - 2 | Clock Time - 216
[MESSAGE RECEIVED] | Global Time - 01:47:50.454470 | Queue Length - 2 | Clock Time - 217
[MESSAGE RECEIVED] | Global Time - 01:47:50.959172 | Queue Length - 1 | Clock Time - 220
[MESSAGE RECEIVED] | Global Time - 01:47:51.461954 | Queue Length - 0 | Clock Time - 221
[MESSAGE RECEIVED] | Global Time - 01:47:51.964671 | Queue Length - 0 | Clock Time - 227
[MESSAGE RECEIVED] | Global Time - 01:47:52.470588 | Queue Length - 0 | Clock Time - 234
[MESSAGE RECEIVED] | Global Time - 01:47:52.976447 | Queue Length - 0 | Clock Time - 236
[MESSAGE RECEIVED] | Global Time - 01:47:53.480811 | Queue Length - 1 | Clock Time - 241
[MESSAGE RECEIVED] | Global Time - 01:47:53.983786 | Queue Length - 0 | Clock Time - 242
[MESSAGE RECEIVED] | Global Time - 01:47:54.488717 | Queue Length - 0 | Clock Time - 244
[MESSAGE RECEIVED] | Global Time - 01:47:54.994058 | Queue Length - 0 | Clock Time - 250
[MESSAGE(S) SENT] | Global Time - 01:47:55.499019 | Receiver(s) - [0] | Clock Time - 251
[MESSAGE RECEIVED] | Global Time - 01:47:56.001379 | Queue Length - 0 | Clock Time - 253
[MESSAGE RECEIVED] | Global Time - 01:47:56.504188 | Queue Length - 0 | Clock Time - 259
[MESSAGE RECEIVED] | Global Time - 01:47:57.009949 | Queue Length - 1 | Clock Time - 260
[MESSAGE RECEIVED] | Global Time - 01:47:57.513699 | Queue Length - 1 | Clock Time - 261
[MESSAGE RECEIVED] | Global Time - 01:47:58.023069 | Queue Length - 1 | Clock Time - 265
[MESSAGE RECEIVED] | Global Time - 01:47:58.526966 | Queue Length - 0 | Clock Time - 266
[INTERNAL] | Global Time - 01:47:59.029553 | No Messages Sent | Clock Time - 267
[MESSAGE RECEIVED] | Global Time - 01:47:59.532771 | Queue Length - 0 | Clock Time - 274
[MESSAGE RECEIVED] | Global Time - 01:48:00.035039 | Queue Length - 0 | Clock Time - 279
[MESSAGE RECEIVED] | Global Time - 01:48:00.537294 | Queue Length - 0 | Clock Time - 281
[MESSAGE RECEIVED] | Global Time - 01:48:01.041996 | Queue Length - 0 | Clock Time - 285
[MESSAGE RECEIVED] | Global Time - 01:48:01.545007 | Queue Length - 0 | Clock Time - 289
[MESSAGE RECEIVED] | Global Time - 01:48:02.050393 | Queue Length - 1 | Clock Time - 290
[MESSAGE RECEIVED] | Global Time - 01:48:02.555293 | Queue Length - 0 | Clock Time - 292
[MESSAGE RECEIVED] | Global Time - 01:48:03.059611 | Queue Length - 0 | Clock Time - 297
[MESSAGE RECEIVED] | Global Time - 01:48:03.565392 | Queue Length - 0 | Clock Time - 301
[MESSAGE(S) SENT] | Global Time - 01:48:04.070806 | Receiver(s) - [2] | Clock Time - 302
[MESSAGE RECEIVED] | Global Time - 01:48:04.573331 | Queue Length - 0 | Clock Time - 305
[INTERNAL] | Global Time - 01:48:05.077849 | No Messages Sent | Clock Time - 306
[MESSAGE RECEIVED] | Global Time - 01:48:05.581427 | Queue Length - 1 | Clock Time - 311
[MESSAGE RECEIVED] | Global Time - 01:48:06.085511 | Queue Length - 1 | Clock Time - 313
[MESSAGE RECEIVED] | Global Time - 01:48:06.588847 | Queue Length - 2 | Clock Time - 314
[MESSAGE RECEIVED] | Global Time - 01:48:07.093501 | Queue Length - 1 | Clock Time - 317
[MESSAGE RECEIVED] | Global Time - 01:48:07.597579 | Queue Length - 0 | Clock Time - 318
[MESSAGE RECEIVED] | Global Time - 01:48:08.099101 | Queue Length - 0 | Clock Time - 326
[MESSAGE RECEIVED] | Global Time - 01:48:08.603596 | Queue Length - 0 | Clock Time - 328
[MESSAGE RECEIVED] | Global Time - 01:48:09.108879 | Queue Length - 0 | Clock Time - 332
[MESSAGE RECEIVED] | Global Time - 01:48:09.609590 | Queue Length - 0 | Clock Time - 334
[MESSAGE RECEIVED] | Global Time - 01:48:10.115418 | Queue Length - 0 | Clock Time - 339
[MESSAGE(S) SENT] | Global Time - 01:48:10.620494 | Receiver(s) - [0, 2] | Clock Time - 340
[MESSAGE(S) SENT] | Global Time - 01:48:11.125337 | Receiver(s) - [0] | Clock Time - 341
